C1,C2,C3,C4,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
0,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,1,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,
