qW:,qX:,qY:,qZ:,direction
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.000,0.000,0.000,0.000,100,
0.997,0.013,-0.070,0.005,100,
0.997,0.013,-0.070,0.005,100,
0.997,0.013,-0.070,0.005,100,
0.998,0.013,-0.068,0.005,100,
0.998,0.013,-0.066,0.005,100,
0.998,0.013,-0.066,0.006,100,
0.998,0.013,-0.065,0.006,100,
0.998,0.014,-0.065,0.007,100,
0.998,0.014,-0.065,0.008,100,
0.998,0.014,-0.065,0.008,100,
0.998,0.015,-0.064,0.008,100,
0.998,0.016,-0.063,0.009,100,
0.998,0.016,-0.064,0.010,100,
0.997,0.022,-0.066,0.013,-100,
0.997,0.025,-0.068,0.013,-100,
0.997,0.026,-0.070,0.013,-100,
0.997,0.028,-0.071,0.015,-100,
0.997,0.028,-0.070,0.015,-100,
0.997,0.030,-0.070,0.017,-100,
0.997,0.032,-0.070,0.017,-100,
0.997,0.030,-0.069,0.015,-100,
0.997,0.026,-0.066,0.011,-100,
0.997,0.026,-0.066,0.011,-100,
0.998,0.026,-0.064,0.013,-100,
0.998,0.026,-0.058,0.015,-100,
0.998,0.025,-0.056,0.017,-100,
0.998,0.026,-0.055,0.018,-100,
0.998,0.033,-0.059,0.012,-100,
0.997,0.045,-0.067,0.003,100,
0.996,0.052,-0.073,-0.001,100,
0.996,0.061,-0.070,-0.003,100,
0.996,0.074,-0.049,-0.006,100,
0.996,0.086,-0.029,-0.004,100,
0.994,0.102,-0.029,-0.005,100,
0.991,0.131,-0.029,-0.006,100,
0.987,0.156,-0.025,-0.004,100,
0.983,0.182,-0.014,0.002,100,
0.975,0.222,-0.008,0.008,100,
0.968,0.252,-0.012,0.011,-100,
0.960,0.279,-0.016,0.014,-100,
0.950,0.311,-0.022,0.017,-100,
0.941,0.337,-0.034,0.020,-100,
0.927,0.371,-0.036,0.035,-100,
0.908,0.414,-0.026,0.056,-100,
0.893,0.444,-0.016,0.069,-100,
0.876,0.476,-0.010,0.078,-100,
0.849,0.521,0.007,0.087,-100,
0.831,0.549,0.010,0.089,-100,
0.812,0.577,0.012,0.089,-100,
0.786,0.612,0.018,0.086,-100,
0.741,0.666,0.019,0.080,-100,
0.703,0.706,0.018,0.088,-100,
0.653,0.748,0.025,0.118,-100,
0.609,0.781,0.029,0.135,-100,
0.560,0.820,0.024,0.116,-100,
0.514,0.852,0.011,0.103,-100,
0.465,0.878,-0.006,0.111,-100,
0.413,0.901,-0.010,0.136,-100,
0.356,0.924,0.014,0.136,-100,
0.297,0.943,0.040,0.145,-100,
0.246,0.959,0.031,0.137,-100,
0.202,0.972,0.017,0.118,-100,
0.151,0.985,-0.002,0.087,-100,
0.124,0.990,-0.018,0.067,100,
0.096,0.994,-0.030,0.044,100,
0.073,0.996,-0.033,0.032,100,
0.051,0.998,-0.029,0.025,100,
0.040,0.999,-0.021,0.025,100,
0.030,0.999,-0.016,0.022,100,
0.024,0.999,-0.017,0.019,100,
0.022,0.999,-0.023,0.020,100,
0.021,0.999,-0.024,0.032,100,
0.021,0.998,-0.024,0.047,100,
0.021,0.998,-0.023,0.058,100,
0.020,0.998,-0.019,0.059,100,
0.019,0.998,-0.016,0.054,100,
0.016,0.999,-0.014,0.045,100,
0.015,0.999,-0.014,0.036,100,
0.016,0.999,-0.015,0.032,100,
0.015,0.999,-0.015,0.033,100,
0.015,0.999,-0.014,0.034,100,
0.014,0.999,-0.013,0.033,100,
0.014,0.999,-0.013,0.032,100,
0.013,0.999,-0.011,0.029,100,
0.012,1.000,-0.010,0.026,-100,
0.010,1.000,-0.009,0.021,-100,
0.007,1.000,-0.008,0.014,100,
0.007,1.000,-0.008,0.010,100,
0.006,1.000,-0.007,0.005,100,
0.007,1.000,-0.007,0.003,100,
0.007,1.000,-0.006,0.001,100,
0.007,1.000,-0.004,-0.000,100,
0.008,1.000,-0.004,-0.003,100,
0.008,1.000,-0.004,-0.008,100,
0.007,1.000,-0.003,-0.017,100,
0.006,1.000,-0.002,-0.022,100,
0.004,1.000,-0.000,-0.029,100,
-0.000,0.999,0.004,-0.041,100,
-0.003,0.999,0.006,-0.049,100,
-0.004,0.999,0.007,-0.052,100,
-0.003,0.999,0.006,-0.050,100,
